date,beta
2017-01-17,0.001050613792166988
2017-01-18,0.0010445810783711665
2017-01-19,0.0009313677296339306
2017-01-23,0.0009236887804862597
2017-01-24,0.0009038732990579158
2017-01-25,0.0009333413520742884
2017-01-26,0.000940590013849669
2017-01-27,0.0009575415611332517
2017-01-30,0.0009358874563217195
2017-01-31,0.0009345198158478468
2017-02-01,0.0009318764058833304
2017-02-02,0.0009395185701747029
2017-02-03,0.0009351776819882369
2017-02-06,0.0006751492292886518
2017-02-07,0.000675092239322236
2017-02-08,0.0006737041797097101
2017-02-09,0.0006627136284554217
2017-02-10,0.0006835288144232648
2017-02-13,0.0005550257285443361
2017-02-14,0.0005804021630765063
2017-02-15,0.0005942840420543568
2017-02-17,0.0006227915828989211
2017-02-21,0.0007176652359815529
2017-02-22,0.0007439546536737573
2017-02-23,0.0007287900370433972
2017-02-24,0.0007534462065878803
2017-02-27,0.0007513722046351575
2017-02-28,0.0006971651781773327
2017-03-01,0.000672792572480587
2017-03-03,0.000721717510498811
2017-03-06,0.0007168744909175054
2017-03-07,0.0007244123452358291
2017-03-08,0.0007383103365192177
2017-03-09,0.000721395219640374
2017-03-13,0.0007036807058150605
2017-03-14,0.0006803544715535474
2017-03-15,0.0006687924394628077
2017-03-16,0.0007018450377524843
2017-03-17,0.0006808571954981869
2017-03-21,0.0006761857881811585
2017-03-22,0.0006353047528998453
2017-03-23,0.0007370154047044962
2017-03-24,0.0006807207499090971
2017-03-27,0.0007278583422113392
2017-03-28,0.0007253067147881325
2017-03-29,0.0007219273942313372
2017-03-30,0.0006485589826521374
2017-03-31,0.0006585128814056219
2017-04-03,0.0006494355441223003
2017-04-04,0.0006196509629335923
2017-04-05,0.0006240682033968529
2017-04-06,0.0006289170028187395
2017-04-07,0.0004593126938511236
2017-04-10,0.0004377492812657506
2017-04-11,0.000424464968936701
2017-04-12,0.00023254147363762183
2017-04-13,0.0001977944126966994
2017-04-17,0.00018719944865708792
2017-04-18,0.0002244468646890228
2017-04-19,0.00020358579429743875
2017-04-20,0.0002016745257656051
2017-04-21,0.00022974203868553666
2017-04-24,0.00023868340692637381
2017-04-25,0.0002644134591513191
2017-04-26,0.0002862260184997431
2017-04-27,0.0002865415327558845
2017-04-28,0.0001502301553896082
2017-05-01,0.0004254050422599857
2017-05-02,0.0004234363978204447
2017-05-03,0.00043296056743278644
2017-05-04,0.00043238060246773803
2017-05-05,0.00041771787659907714
2017-05-08,0.0004201837620968569
2017-05-09,0.00042472532930300694
2017-05-10,0.0004324304680915695
2017-05-11,0.0004484081635813703
2017-05-12,0.00044585261186987513
2017-05-15,0.00018154404649802462
2017-05-16,-0.00020590735658023736
2017-05-17,-0.0001799617344407244
2017-05-18,-0.00017760860856510488
2017-05-19,-0.0002685261591664314
2017-05-22,-0.0002755659602526056
2017-05-23,-0.0003155932349672737
2017-05-24,-0.0002913055572834205
2017-05-25,-0.00028621719993541465
2017-05-26,-0.00032585157173514154
2017-05-30,-0.0003206916213902017
2017-05-31,-0.000339155193659378
2017-06-01,-0.0003235503055558854
2017-06-02,-0.00035716976328861716
2017-06-05,-0.00036414420590662124
2017-06-06,-0.00035902375730445535
2017-06-07,3.741927425755405e-05
2017-06-08,5.5790884639050496e-05
2017-06-09,5.4145508329805404e-05
2017-06-12,6.588737317786151e-05
2017-06-13,5.143518723935175e-05
2017-06-14,5.271838562701908e-05
2017-06-15,3.250831120772007e-05
2017-06-16,2.4266839820146857e-05
2017-06-19,-2.020377541647148e-05
2017-06-20,-1.8732727669298226e-05
2017-06-21,0.00027033895666484284
2017-06-22,0.00027518885034345043
2017-06-23,0.0002543738763790465
2017-06-26,0.00028444023925720184
2017-06-27,0.0002730187573425943
2017-06-28,0.0002649802811845005
2017-06-29,0.00027482848625349273
2017-06-30,0.0002601402344412348
2017-07-03,0.0002042231384014867
2017-07-05,0.0002146987964755846
2017-07-06,0.00021224091969634893
2017-07-07,0.0006218081107730385
2017-07-10,0.0006499428621367302
2017-07-11,0.0006531469165735101
2017-07-12,0.0006659831960541445
2017-07-13,0.0006763390075268441
2017-07-14,0.000678294105699926
2017-07-17,0.0006927351491242963
2017-07-18,0.0006832706082802488
2017-07-19,0.0007014503120720484
2017-07-20,0.0007141079981158073
2017-07-21,0.0007059836384742267
2017-07-24,0.0007196701277388536
2017-07-25,0.0006706892853549133
2017-07-26,0.0006861979002701801
2017-07-27,0.000728758458067353
2017-07-28,0.0007413342924881734
2017-07-31,0.0007494203020473513
2017-08-01,0.0007278968404128927
2017-08-02,0.0007080723720933196
2017-08-03,0.0007123624175998821
2017-08-07,0.0007130329353129786
2017-08-08,0.0007352774589684388
2017-08-09,0.0007369272116766924
2017-08-11,0.0007357948172250365
2017-08-14,0.0007377224195792922
2017-08-16,0.0009527178344353172
2017-08-17,0.0009634172944083855
2017-08-18,0.0009605488493487288
2017-08-22,0.0009557130175318959
2017-08-23,0.0009592766142065792
2017-08-24,0.0010594279037412452
2017-08-25,0.0010367627545332194
2017-08-29,0.0009198521650306183
2017-08-30,0.0009046674360171634
2017-08-31,0.0009117473262145363
2017-09-01,0.0008938857292542858
2017-09-05,0.0009040082604290633
2017-09-06,0.0008994467600746471
2017-09-07,0.0009038467429800773
2017-09-08,0.0009608619017950278
2017-09-11,0.0009707412839261087
2017-09-12,0.0009525738075893137
2017-09-13,0.0009593341420754965
2017-09-14,0.0009744731733562127
2017-09-15,0.0009647587741489942
2017-09-18,0.0009756341480978527
2017-09-19,0.0009775884108469946
2017-09-20,0.0010310511006571715
2017-09-21,0.0010470438594066002
2017-09-22,0.0010181830034549397
2017-09-25,0.0010276257380249481
2017-09-26,0.000981801142417832
2017-09-27,0.0010275912891974655
2017-09-28,0.00081935614037484
2017-09-29,0.000826554438591892
2017-10-02,0.000839866535037113
2017-10-04,0.0008541571021250997
2017-10-05,0.0008344679318881651
2017-10-06,0.0008468788876039656
2017-10-11,0.0008353234599684606
2017-10-12,0.0008475381989964499
2017-10-13,0.0008528253566025626
2017-10-16,0.0008539243713083843
2017-10-17,0.000865787631684221
2017-10-18,0.0008656613844959175
2017-10-19,0.000870586858865733
2017-10-20,0.0008697465342700945
2017-10-23,0.0008866179108826748
2017-10-24,0.0008892212158272879
2017-10-25,0.0009116607050330454
2017-10-26,0.0008777380821271101
2017-10-27,0.0008902189129536991
2017-10-30,0.0009100241400091574
2017-10-31,0.0008828946372189325
2017-11-01,0.0008939176383302133
2017-11-02,0.0008678866436701734
2017-11-03,0.0008527537873399869
2017-11-06,0.000857600177233225
2017-11-07,0.0008591623710917368
2017-11-08,0.0008632047632889745
2017-11-09,0.0008622954511469738
2017-11-13,0.0008501765587270244
2017-11-15,0.0008556309234831651
2017-11-16,0.0008522436219569776
2017-11-17,0.0008610241176920378
2017-11-20,0.0008750921815886912
2017-11-21,0.0008809217299104478
2017-11-22,0.0008946113471361543
2017-11-24,0.0008984360727284638
2017-11-27,0.0009034354135642469
2017-11-28,0.0008925423688993988
